,ICT Mentorship 2023 - ES Review Precision Results,https://www.youtube.com/watch?v=NeZlyG8FZLQ
VM932:1,"ICT Mentorship 2023 - ES Market Review May 17, 2023",https://www.youtube.com/watch?v=qiv8pkcNvGk
VM932:1,2023 ICT Mentorship - ICT Silver Bullet Time Based Trading Model,https://www.youtube.com/watch?v=tRq1hyGGtl4
VM932:1,NQ Futures Review & The ICT Sick Sister Consolidation Model,https://www.youtube.com/watch?v=VSSwM6rDIg0
VM932:1,NDOG - New Day Opening Gap - Part 1,https://www.youtube.com/watch?v=Sh-bDHWNpsk
VM932:1,NWOG - New Week Opening Gap Part 2,https://www.youtube.com/watch?v=BM1mqQv-ypk
VM932:1,ES Review & ICT Funded Challenge Discussion 05/04/2023,https://www.youtube.com/watch?v=F509lJRrYIM
VM932:1,"NQ Futures Review May 02, 2023",https://www.youtube.com/watch?v=St9FJHRVdq8
VM932:1,"Emini S&P 500 Review - April 12, 2023",https://www.youtube.com/watch?v=441vklRYYR4
VM932:1,"Real Money, Real People - ICT Student Meeran",https://www.youtube.com/watch?v=V8OmFCRRzC8
VM932:1,"ICT Emini S&P 500 Review - March 27, 2023",https://www.youtube.com/watch?v=NkwqJBzgQwo
VM932:1,"Real Money, Real People - ICT Student Alex",https://www.youtube.com/watch?v=H6gTzpLtvPA
VM932:1,"Real Money, Real People - ICT Student Kyle",https://www.youtube.com/watch?v=XPYMMSE8DCw
VM932:1,"Real Money, Real People - ICT Student Paladin",https://www.youtube.com/watch?v=KjumlRGELxg
VM932:1,AM Session - Opening Range Gap + Mitigation Block & FVG Entry,https://www.youtube.com/watch?v=UPKUqW_eaas
VM932:1,"Drawdown Mitigation - March 09, 2023 Homework Assignment",https://www.youtube.com/watch?v=JlbQ-Z88NsI
VM932:1,NWOG - New Week Opening Gap,https://www.youtube.com/watch?v=WKKnlIIkBTk
VM932:1,Shorting ES with Wick C.E. & Premium FVG To Discount Sellside Liquidity Premarket,https://www.youtube.com/watch?v=twgtbikJtL0
VM932:1,Institutional Market Structure & Standard Deviations With Buyside Liquidity,https://www.youtube.com/watch?v=g8bhZReDK-Q
VM932:1,"January 31, 2023 PM Session Example \ New Week Opening Gap",https://www.youtube.com/watch?v=MqOVbd1oqZk
VM932:1,"5 Handle Twitter Example Live Execution... January 30, 2023",https://www.youtube.com/watch?v=eTMS36H7HA0
VM932:1,"ICT Mentorship ES Market Review \ January 26, 2023",https://www.youtube.com/watch?v=V1thfpo-R9U
VM932:1,"ICT 2023 Mentorship Analysis \ January 25, 2023",https://www.youtube.com/watch?v=HkiPAi1Mdu8
VM932:1,2023 Mentorship Price Action Review & PM  Session Reversal Model,https://www.youtube.com/watch?v=QKvjPltjsqU
VM932:1,"ICT Emini Futures Review - January 18, 2023",https://www.youtube.com/watch?v=cWekmMLqiNM
VM932:1,When I have to pull out the heavy artillery...,https://www.youtube.com/watch?v=w_mKmVwfqc4
VM932:1,ICT 2023 Mentorship \ ES Live Execution & Mean Threshold Risk Management,https://www.youtube.com/watch?v=tnxvmHq8xEg
VM932:1,ICT Premarket Commentary for Week Ending 01/20/23,https://www.youtube.com/watch?v=w0CYBeFTzcM
VM932:1,"ICT ES Futures Review - January 09, 2023",https://www.youtube.com/watch?v=bGtQOXrrK9c
VM932:1,"ICT Forex Review January 09, 2023",https://www.youtube.com/watch?v=cxdjcXec3eA
VM932:1,January 2023 NonFarm Payroll Review & HTF Concepts,https://www.youtube.com/watch?v=VKkn8uckkW0
VM932:1,"Deep Learning On Nasdaq Futures Trade - January 04, 2023",https://www.youtube.com/watch?v=ojy5ApHhEu4
VM932:1,"ICT Emini NQ Futures Market Maker Live Execution - January 04, 2023",https://www.youtube.com/watch?v=AUbdCTzc19k
VM932:1,"ICT Emini S&P 500 Review / January 03, 2023",https://www.youtube.com/watch?v=GHaD0mebgMU
VM932:1,ICT Mentorship 2023 Ep 01,https://www.youtube.com/watch?v=XN8tuO4QIRw&t=21s
VM932:1,Final Trade of 2022 In Real Time - Tradingview Platform,https://www.youtube.com/watch?v=g1hLPJBse6o
VM932:1,Final Trade of 2022... Enjoy!,https://www.youtube.com/watch?v=PEwlacpjxCg
VM932:1,NQ Futures Live Execution & Trade Management,https://www.youtube.com/watch?v=_GKZoHIJpj0&t=3s
VM932:1,2023 Preview... Precision Inc.,https://www.youtube.com/watch?v=GaFe8LSmtfY
VM932:1,Precision Only Found With Real Algorithmic Theory In Action,https://www.youtube.com/watch?v=SXutdYSa3Zk
VM932:1,Nasdaq Quick Scoping...,https://www.youtube.com/watch?v=flNNEKKcYkM
VM932:1,Share Your Experience With Me & Your ICT Mentorship Journey,https://www.youtube.com/watch?v=ceYv0DVK3ec
VM932:1,ICT Mentorship Core Content - Month 12 - Intraday Top Down Analysis,https://www.youtube.com/watch?v=Oec_0NM_OeY
VM932:1,ICT Mentorship Core Content - Month 12 - Short Term Top Down Analysis,https://www.youtube.com/watch?v=3B7Reg2Yiqs
VM932:1,ICT Mentorship Core Content - Month 12 - Intermediate Term Top Down Analysis,https://www.youtube.com/watch?v=Ad-votrg6WQ
VM932:1,ICT Mentorship Core Content - Month 12 - Long Term Top Down Analysis,https://www.youtube.com/watch?v=eIdnsgq-G7A
VM932:1,ICT Mentorship Core Content - Month 11 - Bond Mega-Trades,https://www.youtube.com/watch?v=At43V93rnDQ
VM932:1,ICT Mentorship Core Content - Month 11 - Stock Mega-Trades,https://www.youtube.com/watch?v=kny8Kpisvoc
VM932:1,ICT Mentorship Core Content - Month 11 - Forex & Currency Mega-Trades,https://www.youtube.com/watch?v=CxwFON8MLB0
VM932:1,ICT Mentorship Core Content - Month 11 - Commodity Mega-Trades,https://www.youtube.com/watch?v=u5S6Zt1ZIpA
VM932:1,ICT Mentorship Core Content - Month 10 - Importance Of Multi-Asset Analysis,https://www.youtube.com/watch?v=gs3KMgz84yc
VM932:1,ICT Mentorship Core Content - Month 10 - Stock Trading - Using Options,https://www.youtube.com/watch?v=cv-fwKKXrwQ
